ID,Full Name,Gender,Parent,School,Branch,Class,Level,Section,Password,Date of Birth,Place of Birth,Photo,Academic Year,Roll No,Price,Registration Fee,Total,Status
299,Farxiya Maxamed Cali,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2899,5.0,5.0,10.0,active
300,Axmed Cabdi Xasan,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2900,5.0,5.0,10.0,active
301,Sucaad Axmed Maxamed,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2901,5.0,5.0,10.0,active
296,Yuusuf Xasan Cali,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2896,19.0,5.0,24.0,active
297,Hibo Xasan Maxamed,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2897,19.0,5.0,24.0,active
298,Cabdirahman Axmed Xasan,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2898,5.0,5.0,10.0,active
294,Cabdirisaaq Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2894,19.0,5.0,24.0,active
295,Najmo Cabdi Xasan,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2895,19.0,5.0,24.0,active
291,Sahra Cabdi Xasan,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2891,12.0,5.0,17.0,active
292,Yaxye Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2892,12.0,5.0,17.0,active
293,Aamina Axmed Cali,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2893,12.0,5.0,17.0,active
288,Xasan Axmed Maxamed,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2888,5.0,5.0,10.0,active
289,Fadumo Maxamed Cali,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2889,5.0,5.0,10.0,active
290,Cabdiraxmaan Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2890,12.0,5.0,17.0,active
285,Haboon Axmed Cali,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2885,19.0,5.0,24.0,active
286,Cabdiqani Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2886,5.0,5.0,10.0,active
287,Nimco Cabdi Xasan,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2887,5.0,5.0,10.0,active
283,Rooda Maxamed Xasan,female,Caasho warfa,FARJANO ,,10aad,DUGSI SARE,,,,,,2026 - 2029,2883,19.0,5.0,24.0,active
284,Ismaaciil Cabdi Xasan,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2884,19.0,5.0,24.0,active
280,Cabdirashiid Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,7aad,DUGSI DHEXE,A,,,,,2026 - 2032,2880,12.0,5.0,17.0,active
281,Warsan Cabdi Cali,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2881,12.0,5.0,17.0,active
282,Cabdalla Axmed Maxamed,male,Ahmed Rashid,FARJANO ,,9aad,DUGSI SARE,,,,,,2026 - 2030,2882,19.0,5.0,24.0,active
277,Farxiyo Cabdi Cali,female,Jamiilo Warfaa,FARJANO ,,4aad,DUGSI HOOSE,,,,,,2026 - 2035,2877,5.0,5.0,10.0,active
278,Maxamed Xasan Cabdi,male,Ahmed Rashid,FARJANO ,,5aad,DUGSI DHEXE,,,,,,2026 - 2034,2878,12.0,5.0,17.0,active
279,Sucaad Axmed Xasan,female,Caasho warfa,FARJANO ,,6aad,DUGSI DHEXE,,,,,,2026 - 2033,2879,12.0,5.0,17.0,active
275,Deeqo Cabdi Xasan,female,Caasho warfa,FARJANO ,,2aad,DUGSI HOOSE,,,,,,2026 - 2037,2875,5.0,5.0,10.0,active
276,Cabdiwali Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,3aad,DUGSI HOOSE,,,,,,2026 - 2036,2876,5.0,5.0,10.0,active
272,Cabdikariim Maxamed Xasan,male,Ahmed Rashid,FARJANO ,,11aad,DUGSI SARE,,,,,,2026 - 2028,2872,19.0,5.0,24.0,active
273,Hibo Axmed Cali,female,Jamiilo Warfaa,FARJANO ,,12aad,DUGSI SARE,,,,,,2026 - 2027,2873,19.0,5.0,24.0,active
274,Cabdisalaan Xasan Maxamed,male,Ahmed Rashid,FARJANO ,,1aad,DUGSI HOOSE,,,,,,2026 - 2038,2874,5.0,5.0,10.0,active
269,Ayaan Xasan Cabdi,female,Jamiilo Warfaa,FARJANO ,,8aad,DUGSI DHEXE,,,,,,2026 - 2031,2869,12.0,5.0,17.0,active
